"nation","year_to_survive_to","deferral_reduction","idu_type","deferral_effect_year","calibration_prevalence_1991","donor_non_clearance","contamination_constant","contamination_constant_prop","units_per_donation_scenario","trans_survival_years","hepc_survival_hazard","survivor_non_clearance","trans_survival_hazard_scenario","total_infected","total_chronic_infected","total_chronic_survived_transfusion","chronic_infected_survived_long_hepc_trans","died_trans_hcv","excess_deaths_hcv"
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",12496,10247,3787,1584,8663,0
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",14397,11806,4363,1787,10019,0
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",16298,13365,4940,1990,11374,0
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",20101,16483,6092,2397,14085,0
"England",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",12695,10410,3847,1610,8800,0
"England",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",14546,11928,4409,1807,10121,0
"England",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",16398,13446,4970,2004,11443,0
"England",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",20101,16483,6092,2397,14085,0
"England",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",13784,11303,4178,1671,9632,0
"England",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",15363,12598,4656,1832,10766,0
"England",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",16943,13893,5135,1994,11899,0
"England",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",14174,11622,4296,1721,9902,0
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",15656,12838,4745,1870,10968,0
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",17137,14053,5194,2019,12034,0
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",12496,10247,3787,1531,8716,0
